filename,width,height,class,xmin,ymin,xmax,ymax
pos0002.jpg,1280,720,cormorant,140,54,1030,696
pos0004.jpg,1280,720,cormorant,228,235,381,583
pos0004.jpg,1280,720,cormorant,811,218,996,576
pos0006.jpg,1280,720,cormorant,64,103,1134,597
pos0008.jpg,1280,720,cormorant,124,121,630,511
pos0008.jpg,1280,720,cormorant,374,120,1002,493
pos0008.jpg,1280,720,cormorant,740,206,1206,650
pos0011.jpg,1280,720,cormorant,34,133,1168,655
pos0013.jpg,1280,720,cormorant,137,125,1037,574
pos0014.jpg,1280,720,cormorant,1,140,1198,602
pos0016.jpg,1280,720,cormorant,135,56,271,121
pos0016.jpg,1280,720,cormorant,942,252,1067,326
pos0016.jpg,1280,720,cormorant,849,517,971,610
pos0016.jpg,1280,720,cormorant,573,589,689,636
pos0016.jpg,1280,720,cormorant,277,413,396,482
pos0018.jpg,1280,720,cormorant,627,190,908,445
pos0022.jpg,1280,720,cormorant,472,305,754,423
pos0023.jpg,1280,720,cormorant,567,381,855,482
pos0024.jpg,1280,720,cormorant,144,41,705,369
pos0024.jpg,1280,720,cormorant,680,136,1227,382
pos0025.jpg,1280,720,cormorant,696,115,1144,420
pos0025.jpg,1280,720,cormorant,167,126,612,335
pos0026.jpg,1280,720,cormorant,570,166,1009,487
pos0026.jpg,1280,720,cormorant,25,157,466,382
pos0027.jpg,1280,720,cormorant,142,134,573,405
pos0027.jpg,1280,720,cormorant,567,213,992,413
pos0027.jpg,1280,720,cormorant,1120,278,1280,506
pos0029.jpg,1280,720,cormorant,357,195,774,448
pos0030.jpg,1280,720,cormorant,182,296,396,393
pos0030.jpg,1280,720,cormorant,868,387,1079,449
pos0032.jpg,1280,720,cormorant,395,201,642,597
pos0033.jpg,1280,720,cormorant,945,64,1028,134
pos0033.jpg,1280,720,cormorant,796,215,854,306
pos0033.jpg,1280,720,cormorant,662,264,733,317
pos0033.jpg,1280,720,cormorant,492,566,548,679
pos0033.jpg,1280,720,cormorant,1,351,54,457
pos0035.jpg,1280,720,cormorant,63,312,320,631
pos0035.jpg,1280,720,cormorant,276,321,515,604
pos0035.jpg,1280,720,cormorant,451,225,824,574
pos0035.jpg,1280,720,cormorant,902,112,1197,432
pos0037.jpg,1280,720,cormorant,481,115,828,690
pos0038.jpg,1280,720,cormorant,78,175,163,430
pos0038.jpg,1280,720,cormorant,695,252,831,425
pos0038.jpg,1280,720,cormorant,1152,260,1246,506
pos0039.jpg,1280,720,cormorant,258,41,930,611
pos0040.jpg,1280,720,cormorant,197,403,901,618
pos0040.jpg,1280,720,cormorant,190,239,731,385
pos0040.jpg,1280,720,cormorant,677,53,1200,314
pos0041.jpg,1280,720,cormorant,394,135,808,605
pos0042.jpg,1280,720,cormorant,290,78,825,563
pos0043.jpg,1280,720,cormorant,849,112,1190,240
pos0043.jpg,1280,720,cormorant,299,259,737,361
pos0043.jpg,1280,720,cormorant,77,410,409,512
pos0044.jpg,1280,720,cormorant,89,154,1254,589
pos0046.jpg,1280,720,cormorant,428,25,963,690
pos0047.jpg,1280,720,cormorant,162,40,1192,677
pos0048.jpg,1280,720,cormorant,449,91,1170,559
pos0049.jpg,1280,720,cormorant,99,22,831,711
pos0050.jpg,1280,720,cormorant,253,59,1129,708
pos0051.jpg,1280,720,cormorant,399,147,1035,615
pos0052.jpg,1280,720,cormorant,274,220,468,560
pos0052.jpg,1280,720,cormorant,890,236,1055,582
pos0053.jpg,1280,720,cormorant,232,43,830,658
pos0054.jpg,1280,720,cormorant,148,97,1220,602
pos0055.jpg,1280,720,cormorant,428,107,770,702
pos0056.jpg,1280,720,cormorant,689,121,1154,517
pos0056.jpg,1280,720,cormorant,71,209,423,664
pos0056.jpg,1280,720,cormorant,193,108,906,487
pos0059.jpg,1280,720,cormorant,110,130,1249,636
pos0061.jpg,1280,720,cormorant,288,117,1150,539
pos0063.jpg,1280,720,cormorant,938,174,1168,438
pos0063.jpg,1280,720,cormorant,71,330,296,523
pos0065.jpg,1280,720,cormorant,453,178,873,645
pos0066.jpg,1280,720,cormorant,377,189,654,451
pos0067.jpg,1280,720,cormorant,425,374,482,459
pos0070.jpg,1280,720,cormorant,529,303,803,429
pos0071.jpg,1280,720,cormorant,429,373,716,485
pos0073.jpg,1280,720,cormorant,172,117,582,423
pos0073.jpg,1280,720,cormorant,671,127,1115,332
pos0074.jpg,1280,720,cormorant,285,164,715,500
pos0074.jpg,1280,720,cormorant,813,165,1257,390
pos0078.jpg,1280,720,cormorant,203,379,415,462
pos0078.jpg,1280,720,cormorant,882,296,1097,397
pos0079.jpg,1280,720,cormorant,192,126,621,451
pos0080.jpg,1280,720,cormorant,637,203,889,603
pos0082.jpg,1280,720,cormorant,534,208,792,493
pos0083.jpg,1280,720,cormorant,82,116,385,451
pos0083.jpg,1280,720,cormorant,458,221,767,578
pos0083.jpg,1280,720,cormorant,768,320,1011,602
pos0083.jpg,1280,720,cormorant,968,312,1234,637
pos0086.jpg,1280,720,cormorant,1115,181,1206,385
pos0086.jpg,1280,720,cormorant,507,248,587,428
pos0086.jpg,1280,720,cormorant,54,260,139,458
pos0089.jpg,1280,720,cormorant,477,136,892,613
pos0091.jpg,1280,720,cormorant,93,112,435,238
pos0091.jpg,1280,720,cormorant,549,260,984,372
pos0091.jpg,1280,720,cormorant,870,412,1204,525
pos0092.jpg,1280,720,cormorant,36,154,1177,538
pos0094.jpg,1280,720,cormorant,320,27,904,720
pos0095.jpg,1280,720,cormorant,90,45,1106,651
pos0101.jpg,1280,720,cormorant,279,243,305,253
pos0101.jpg,1280,720,cormorant,317,206,350,220
pos0101.jpg,1280,720,cormorant,323,165,352,180
pos0101.jpg,1280,720,cormorant,444,176,478,200
pos0101.jpg,1280,720,cormorant,426,212,457,227
pos0101.jpg,1280,720,cormorant,525,218,551,233
pos0101.jpg,1280,720,cormorant,563,192,596,217
pos0101.jpg,1280,720,cormorant,702,305,723,320
pos0101.jpg,1280,720,cormorant,683,285,706,299
pos0101.jpg,1280,720,cormorant,944,209,976,227
pos0101.jpg,1280,720,cormorant,730,291,753,305
pos0101.jpg,1280,720,cormorant,791,258,817,276
pos0101.jpg,1280,720,cormorant,759,318,786,333
pos0101.jpg,1280,720,cormorant,765,368,786,383
pos0101.jpg,1280,720,cormorant,819,397,843,411
pos0101.jpg,1280,720,cormorant,799,324,818,330
pos0101.jpg,1280,720,cormorant,710,358,732,369
pos0101.jpg,1280,720,cormorant,889,329,905,341
pos0101.jpg,1280,720,cormorant,965,310,993,322
pos0101.jpg,1280,720,cormorant,1077,330,1099,342
pos0101.jpg,1280,720,cormorant,937,379,953,392
pos0101.jpg,1280,720,cormorant,923,380,937,394
pos0101.jpg,1280,720,cormorant,933,391,949,403
pos0101.jpg,1280,720,cormorant,1185,400,1219,418
pos0101.jpg,1280,720,cormorant,1086,411,1108,427
pos0102.jpg,1280,720,cormorant,286,204,322,227
pos0102.jpg,1280,720,cormorant,397,203,432,225
pos0102.jpg,1280,720,cormorant,417,163,449,188
pos0102.jpg,1280,720,cormorant,530,182,567,203
